PeteZahHutt,2929,3657,3621,3313,3683,3525,4221,3040,3069,3368,-1,2889,-1,3164,3862,-1,-1,2382,3492
fruitberries,-1,-1,-1,-1,-1,3031,2638,-1,3805,-1,3129,3318,-1,3079,2859,-1,2075,3307,3306
Quig,3330,3769,2415,2685,3732,3519,3330,3549,2932,3730,2979,2741,-1,2471,2948,-1,2965,3328,3044
Sapnap,-1,-1,-1,-1,-1,-1,2963,2497,3459,2284,2533,3138,-1,2886,3380,-1,4223,2697,2912
Illumina,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2282,-1,2849,-1,4199,3208,-1,2909
Grian,-1,-1,-1,-1,-1,2111,1996,-1,1727,-1,2107,1962,-1,2308,1827,2317,1827,2461,2815
SB737,-1,-1,-1,-1,-1,-1,-1,1861,1925,-1,-1,2413,3005,-1,2403,-1,-1,-1,2735
Dream,-1,-1,-1,-1,-1,3250,3405,3060,2373,3405,3626,2764,-1,2833,2224,-1,3203,3031,2688
Ranboo,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2167,2085,2627
Smajor1995,2361,2567,2711,1950,2485,2375,2511,1801,2268,2752,2681,2400,3917,2403,2721,2643,2074,2348,2527
HBomb94,2470,2877,2422,2453,2001,2972,3459,2998,3413,-1,2621,2600,-1,2821,2731,-1,-1,2165,2491
WilburSoot,1657,2447,1770,2129,2021,2139,2290,2283,1978,1916,2178,2211,-1,1967,1431,2663,2251,2002,2445
GeorgeNotFound,-1,-1,-1,-1,-1,2450,2004,2092,2509,2491,2071,2459,-1,2127,1961,-1,-1,2371,2423
Antfrost,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2155,2677,2372
SolidarityGaming,2205,1508,2721,2097,2486,2216,1271,1748,1904,2313,1860,1970,4103,-1,2099,2520,1052,-1,2351
FalseSymmetry,-1,-1,-1,1909,1976,1652,1810,1327,2455,2261,2217,1590,-1,2347,1248,-1,1395,-1,2343
InTheLittleWood,1967,1558,-1,2514,2472,2864,1837,1983,1606,-1,1766,-1,3272,-1,2286,3040,2134,-1,2289
TommyInnit,-1,3685,2530,3010,2257,2314,1997,2086,2751,1474,2879,2225,-1,2338,2619,3204,2116,1830,2188
Tubbo,-1,-1,-1,-1,-1,-1,-1,-1,2351,1578,1803,2359,-1,2688,2553,2467,2312,2263,2090
Shubble,2626,1605,2562,1702,2447,2015,1376,1005,1684,2109,2150,1834,-1,2001,1630,2240,1218,1950,2089
fWhip,-1,-1,-1,1456,2534,2008,2724,2609,-1,-1,2139,2059,-1,-1,-1,-1,1901,-1,2041
CaptainSparklez,2014,2120,3080,2800,2719,2629,2583,2479,2575,2038,1787,2608,-1,2374,1968,-1,2206,2223,2016
Punz,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2449,-1,2649,3451,-1,2976,3332,2005
GeminiTay,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1911
KryticZeuz,1068,1112,1499,1479,1224,-1,1381,-1,-1,1019,-1,-1,-1,1217,-1,-1,-1,930,1823
Cubfan135,-1,-1,-1,-1,1658,1658,-1,1164,-1,2307,-1,1701,-1,-1,1593,-1,-1,-1,1803
KarlJacobs,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1329,-1,-1,1487,-1,-1,-1,-1,1803
RenDog,-1,-1,-1,1785,1703,1498,1243,1280,2099,-1,1675,1425,-1,-1,1388,-1,1396,-1,1686
Vixella,626,752,745,957,897,-1,909,-1,-1,955,-1,-1,-1,564,-1,-1,-1,596,1637
Ponk,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2079,1564
5uppps,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1829,2016,1549
KaraCorvus,2371,1980,1665,2372,2013,1971,2262,1718,1923,1695,1483,1927,-1,1806,1398,-1,730,-1,1544
The_Eret,1810,1805,1604,-1,1825,1518,2516,1559,1529,2024,-1,-1,-1,1998,1671,1860,-1,-1,1486
Sneegsnag,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1438
vGumiho,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1367
Wisp,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1937,-1,2048,2447,2759,2066,-1,1350
JackManifoldTV,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1571,-1,1926,2191,1320
Ph1LzA,2261,3401,-1,3150,2075,2556,2931,2660,1923,2424,2140,3160,-1,2839,2328,-1,2000,2020,1209
King_Burren,2445,2483,1645,2215,2427,2172,1804,2327,-1,2395,1238,2142,-1,-1,-1,2549,-1,-1,1160
Nihachu,-1,-1,-1,-1,-1,-1,-1,-1,-1,1260,600,1102,-1,-1,1450,1385,865,1700,1078
AlexTheRambler,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1154,-1,-1,-1,-1,-1,-1
Amadeus_Fink,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2393,-1,-1,-1,-1,-1,-1
Asnazum,-1,-1,-1,-1,-1,-1,-1,-1,-1,561,-1,-1,-1,-1,-1,-1,-1,-1,-1
AyChristene,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,944,-1,-1,-1
BadBoyHalo,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1449,-1,-1,2312,-1
BBPaws,1665,1059,-1,1401,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
Bedgar,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1239,-1,-1,-1,-1,-1,-1
BekkiBoom,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,994,-1,-1,-1,-1,-1,-1
Bitzel,-1,-1,2249,-1,-1,2372,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
BobaWitch,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1158,-1,-1,-1,-1,-1,-1
Bouphe,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,791,-1,-1,-1,-1,-1,-1
Breeh,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2065,-1,-1,-1,-1,-1,-1
BrionyKay,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,709,-1,-1,-1,-1,-1,-1
Calvin,-1,-1,2398,3042,-1,-1,-1,1917,2546,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
CaptainPuffy,1640,2325,1577,-1,1815,2190,2789,2031,1886,1989,1490,1878,-1,-1,1578,2588,-1,1840,-1
